"M","N","F","C","Message Exchanged","Bytes Transferred","Response Time"
"100.0","10.0","10.0","1.0","1125.0","36874712.0","11819692.0"
"100.0","50.0","10.0","1.0","1287.0","37586928.0","93794261.0"
"100.0","100.0","10.0","1.0","1386.0","37483064.0","114311090.0"
"100.0","150.0","10.0","1.0","1562.0","37838608.0","156948740.0"
"100.0","200.0","10.0","1.0","1753.0","38652264.0","206548735.0"
"100.0","250.0","10.0","1.0","1875.0","39204784.0","285577379.0"
"100.0","300.0","10.0","1.0","2085.0","41077848.0","325241947.0"
"100.0","350.0","10.0","1.0","2199.0","40204504.0","383488610.0"
"100.0","400.0","10.0","1.0","2287.0","41952872.0","468675133.0"
